0,1,2,3,4
-2.5527663947313826e-11,0.0,-1.3708844802901028e-11,-1.1498081829903442e-10,-8.924950288624623e-11
-2.883254078915857e-11,0.0,-1.556305841708586e-11,-1.1104947871274045e-10,-7.418884608610779e-11
-3.040293565467268e-11,0.0,-1.6425576146233532e-11,-4.647579521432799e-11,-1.4924329405715027e-11
-3.0931919659917345e-11,0.0,-1.6693400399340848e-11,-7.001817471503697e-11,-1.2759501102905979e-12
-4.298254888781775e-11,0.0,-1.6966349046062353e-11,-2.7724018983063873e-11,-1.2923423316470266e-12
-1.3196672884457838e-10,0.0,-1.758203615135887e-11,-1.0969183981056741e-10,-1.3118790708291741e-12
-6.708915820575339e-11,0.0,-5.012951593099687e-11,-9.593021105165792e-11,-1.3377300738186191e-12
-7.986408883612218e-11,0.0,-4.263663597515027e-11,-1.0601726232678718e-10,-1.3681158817731322e-12
-6.669389473109778e-11,0.0,-2.4065029542100408e-11,-1.229759012958929e-10,-1.402639763711711e-12
-4.856575333891155e-11,0.0,-8.41008793406764e-11,-1.8502652698226328e-10,-1.4377895755112023e-12
-2.7329253054712413e-11,0.0,-5.749727128220191e-11,-2.1556180059743656e-10,-1.4746679005032285e-12
-2.5548671199614082e-11,0.0,-1.3430410285790375e-11,-1.77426229868122e-10,-1.5101844858590402e-12
-4.5222162691925694e-11,0.0,-1.0945948612257398e-10,-7.457967109321285e-11,-1.5491515864177964e-12
-5.956040944165e-11,0.0,-1.3535932425431328e-10,-3.7259940930740885e-11,-1.5877959737680206e-12
-7.598725644943657e-11,0.0,-4.278823531685878e-11,-1.478360887175553e-10,-6.039004354013533e-12
-4.6279236389571326e-11,0.0,-9.981178368469171e-11,-9.231647005051648e-11,-1.6644741597590866e-12
-2.9020360205714307e-11,0.0,-1.6600483019364738e-11,-1.0574949933484103e-11,-1.699841248284526e-12
-1.761176435773345e-11,0.0,-6.376825548596076e-11,-1.0686751756506801e-11,-2.294856726378269e-11
-1.4703046534254166e-11,0.0,-7.295399731476905e-12,-1.0725274736211137e-11,-1.861971102232403e-12
-1.3622482346343184e-11,0.0,-2.4403037959200037e-11,-2.2624587810231927e-11,-1.9567925372410077e-12
-1.2618265084910689e-11,0.0,-4.611354642994416e-11,-6.174976214208639e-11,-2.0313593669561972e-12
-1.1690508589483746e-11,0.0,-6.669877471220692e-11,-1.1066149988581916e-11,-2.8874198519585262e-11
-3.649603816975243e-11,0.0,-1.6808909522860376e-11,-1.1121036684767317e-11,-4.4551240625027554e-12
-1.3901928480104675e-11,0.0,-8.133272264969006e-11,-1.1145568170553768e-11,-9.502353727309747e-12
